seq,species,y,x
AB291075,Meles_anakuma,35.54899,139.26064
AB710347,Niviventer_fulvescens,11.42,107.42
AB752532,Saccostomus_campestris,-15.32916,28.68204
AB752533,Saccostomus_campestris,-15.7,26.61
AB752534,Saccostomus_campestris,-15.750420000000002,26.438390000000002
AB752535,Saccostomus_campestris,-15.750420000000002,26.438390000000002
AB752536,Saccostomus_campestris,-15.750420000000002,26.438390000000002
AB752537,Saccostomus_campestris,-15.750420000000002,26.438390000000002
AB752785,Rattus_rattus,-15.4,28.34
AB752786,Rattus_rattus,-15.40669,28.287129999999998
AB752787,Rattus_rattus,-15.40669,28.287129999999998
AB752788,Rattus_rattus,-15.40669,28.287129999999998
AB752789,Rattus_rattus,-15.40669,28.287129999999998
AB752790,Rattus_rattus,-15.40669,28.287129999999998
AB752791,Rattus_rattus,-15.40669,28.287129999999998
AB752792,Rattus_rattus,-15.40669,28.287129999999998
AB752793,Rattus_rattus,-15.7,26.61
AB752794,Rattus_rattus,-15.7,26.61
AB752795,Rattus_rattus,-15.7,26.61
AB752796,Rattus_rattus,-15.40669,28.287129999999998
AB752797,Rattus_rattus,-15.750420000000002,26.438390000000002
AB752798,Rattus_rattus,-15.750420000000002,26.438390000000002
AB752799,Rattus_rattus,-15.750420000000002,26.438390000000002
AB752800,Rattus_rattus,-15.750420000000002,26.438390000000002
AB752801,Rattus_rattus,-15.750420000000002,26.438390000000002
AB752802,Rattus_rattus,-15.750420000000002,26.438390000000002
AB752803,Rattus_rattus,-15.750420000000002,26.438390000000002
AB752804,Rattus_rattus,-15.750420000000002,26.438390000000002
AB752805,Rattus_rattus,-15.77,26.88
AB752806,Rattus_rattus,-15.75,26.47
ABBSI287-11,Myotis_montivagus,21.37247,105.93848
ABBSI288-11,Myotis_montivagus,21.37247,105.93848
ABBSI289-11,Myotis_montivagus,21.37247,105.93848
ABBSI290-11,Myotis_montivagus,21.37247,105.93848
ABBSI291-11,Myotis_montivagus,21.37247,105.93848
ABBSI292-11,Myotis_montivagus,21.37247,105.93848
ABBSI293-11,Myotis_siligorensis,21.37247,105.93848
ABBSI294-11,Myotis_siligorensis,21.37247,105.93848
ABBSI351-11,Myotis_muricola,10.345989999999999,107.08426000000001
ABBSI352-11,Myotis_muricola,10.345989999999999,107.08426000000001
ABBSI353-11,Myotis_muricola,10.345989999999999,107.08426000000001
ABBSI354-11,Myotis_muricola,10.345989999999999,107.08426000000001
ABBSI368-11,Myotis_ater,11.0,107.16667
ABBSI369-11,Myotis_ater,11.0,107.16667
ABBSI370-11,Myotis_muricola,11.0,107.16667
ABBSI377-11,Myotis_muricola,20.03667,105.58193999999999
ABBSI391-11,Myotis_muricola,20.03667,105.58193999999999
ABBSI392-11,Myotis_muricola,20.03667,105.58193999999999
ABBSI393-11,Myotis_muricola,20.03667,105.58193999999999
ABBSI394-11,Myotis_rosseti,11.0,107.16667
ABBSI395-11,Myotis_rosseti,11.0,107.16667
ABBSI408-11,Myotis_ater,11.0,107.16667
ABBSI409-11,Myotis_ater,11.0,107.16667
ABBWP001-06,Nyctalus_lasiopterus,42.3,-2.5
ABBWP002-06,Nyctalus_leisleri,36.52978,-6.29465
ABBWP003-06,Myotis_bechsteinii,46.4582,6.33499
ABBWP006-06,Pipistrellus_pygmaeus,46.166990000000006,6.18436
ABBWP007-06,Myotis_nattereri,46.61671,6.64496
ABBWP009-06,Plecotus_auritus,46.21975,6.25517
ABBWP011-06,Asellia_tridens,31.4006,-7.392919999999999
ABBWP012-06,Barbastella_barbastellus,46.10723,7.08096
ABBWP013-06,Eptesicus_nilssonii,46.13851,7.11468
ABBWP017-06,Miniopterus_schreibersii,39.81033,9.49962
ABBWP018-06,Myotis_bechsteinii,46.61671,6.64496
ABBWP021-06,Myotis_blythii,46.31196,7.8002899999999995
ABBWP022-06,Myotis_blythii,36.01393,-5.60695
ABBWP023-06,Myotis_capaccinii,39.81033,9.49962
ABBWP025-06,Myotis_daubentonii,46.44055,6.89233
ABBWP026-06,Myotis_daubentonii,46.51854,6.52682
ABBWP027-06,Myotis_myotis,46.13851,7.11468
ABBWP029-06,Myotis_myotis,46.31196,7.8002899999999995
ABBWP032-06,Myotis_punicus,39.81033,9.49962
ABBWP034-06,Myotis_punicus,31.4006,-7.392919999999999
ABBWP035-06,Pipistrellus_nathusii,46.53989,6.5881
ABBWP036-06,Plecotus_austriacus,46.516000000000005,6.63282
ABBWP037-06,Plecotus_auritus,46.61671,6.64496
ABBWP038-06,Plecotus_macrobullaris,46.22925,7.45972
ABBWP039-06,Plecotus_austriacus,46.17208,7.184880000000001
ABBWP041-06,Plecotus_macrobullaris,46.13851,7.11468
ABBWP044-06,Myotis_blythii,40.36678,23.69791
ABBWP048-06,Rhinolophus_blasii,40.38333,23.383329999999997
ABBWP049-06,Myotis_myotis,35.141690000000004,26.08164
ABBWP050-06,Myotis_myotis,41.14788,24.93869
ABBWP051-06,Myotis_daubentonii,39.063159999999996,21.97895
ABBWP052-06,Myotis_myotis,40.36677,23.69791
ABBWP053-06,Nyctalus_noctula,39.063159999999996,21.97895
ABBWP056-06,Pipistrellus_kuhlii,36.74536,24.4265
ABBWP057-06,Pipistrellus_pygmaeus,39.063159999999996,21.97895
ABBWP061-06,Miniopterus_schreibersii,40.38333,23.383329999999997
ABBWP063-06,Myotis_blythii,35.05368,25.40945
ABBWP066-06,Rousettus_aegyptiacus,34.99857,32.467690000000005
ABBWP067-06,Myotis_myotis,39.08333,26.433329999999998
ABBWP068-06,Rhinolophus_ferrumequinum,35.51877,23.93011
ABBWP073-06,Myotis_myotis,40.479659999999996,23.13695
ABBWP074-06,Eptesicus_serotinus,40.479659999999996,23.13695
ABBWP075-06,Myotis_daubentonii,46.470079999999996,6.3964
ABBWP076-06,Vespertilio_murinus,46.22925,7.45972
ABBWP077-06,Nyctalus_noctula,46.20128,6.1302
ABBWP078-06,Pipistrellus_pygmaeus,46.202220000000004,6.14569
ABBWP079-06,Myotis_blythii,46.325359999999996,7.98912
ABBWP080-06,Pipistrellus_nathusii,46.18096,6.13921
ABBWP081-06,Pipistrellus_nathusii,44.73333,4.6
ABBWP083-06,Myotis_alcathoe,46.45962,6.208130000000001
ABBWP085-06,Pipistrellus_kuhlii,46.22318,7.33137
ABBWP086-06,Pipistrellus_pygmaeus,46.21895,6.20369
ABBWP087-06,Pipistrellus_nathusii,46.202220000000004,6.14569
ABBWP090-06,Vespertilio_murinus,46.13851,7.11468
ABBWP091-06,Rhinolophus_ferrumequinum,46.21239,7.3982600000000005
ABBWP093-06,Pipistrellus_kuhlii,46.202220000000004,6.14569
ABBWP094-06,Pipistrellus_pygmaeus,46.30141,6.24332
ABBWP095-06,Pipistrellus_kuhlii,46.202220000000004,6.14569
ABBWP097-06,Plecotus_macrobullaris,46.14369,6.04282
ABBWP099-06,Barbastella_barbastellus,45.95528,5.53167
ABBWP100-06,Plecotus_auritus,45.95528,5.53167
ABBWP102-06,Pipistrellus_pygmaeus,46.226420000000005,6.1233
ABBWP103-06,Rhinolophus_euryale,47.95725,3.3237
ABBWP105-06,Myotis_mystacinus,46.61671,6.64496
ABBWP106-06,Myotis_mystacinus,46.60688,6.23062
ABBWP108-06,Myotis_brandtii,46.45962,6.208130000000001
ABBWP109-06,Myotis_emarginatus,46.60688,6.23062
ABBWP111-06,Vespertilio_murinus,46.202220000000004,6.14569
ABBWP112-06,Myotis_daubentonii,41.83748,27.675759999999997
ABBWP113-06,Pipistrellus_pygmaeus,41.83748,27.675759999999997
ABBWP114-06,Nyctalus_leisleri,41.83748,27.675759999999997
ABBWP115-06,Nyctalus_noctula,41.83748,27.675759999999997
ABBWP116-06,Rhinolophus_blasii,41.66667,27.5
ABBWP117-06,Myotis_emarginatus,41.66667,27.5
ABBWP118-06,Rhinolophus_mehelyi,41.66667,27.5
ABBWP119-06,Myotis_blythii,34.78575,36.27239
ABBWP120-06,Eptesicus_bottae,35.95283,39.00788
ABBWP122-06,Pipistrellus_kuhlii,35.95283,39.00788
ABBWP123-06,Otonycteris_hemprichii,35.95283,39.00788
ABBWP126-06,Myotis_nattereri,33.96736,36.65741
ABBWP127-06,Myotis_nattereri,33.96736,36.65741
ABBWP128-06,Plecotus_macrobullaris,33.96736,36.65741
ABBWP129-06,Plecotus_macrobullaris,33.96736,36.65741
ABBWP130-06,Rhinolophus_hipposideros,34.78575,36.27239
ABBWP131-06,Eptesicus_serotinus,35.0,38.0
ABBWP132-06,Pipistrellus_pipistrellus,35.0,38.0
ABBWP134-06,Eptesicus_bottae,35.13179,36.75783
ABBWP136-06,Rhinolophus_hipposideros,32.65246,51.674620000000004
ABBWP138-06,Pipistrellus_pipistrellus,31.89722,54.3675
ABBWP139-06,Eptesicus_bottae,29.105999999999998,58.357
ABBWP140-06,Eptesicus_bottae,29.105999999999998,58.357
ABBWP142-06,Myotis_aurascens,38.8851,44.9544
ABBWP143-06,Myotis_aurascens,38.8851,44.9544
ABBWP144-06,Plecotus_macrobullaris,36.513000000000005,46.9535
ABBWP145-06,Myotis_blythii,37.0,46.0
ABBWP146-06,Myotis_blythii,37.0,46.0
ABBWP147-06,Myotis_schaubi,37.0,46.0
ABBWP148-06,Myotis_schaubi,37.0,46.0
ABBWP149-06,Rhinolophus_ferrumequinum,34.3996,47.445
ABBWP150-06,Miniopterus_schreibersii,34.3996,47.445
ABBWP151-06,Myotis_capaccinii,34.3996,47.445
ABBWP152-06,Eptesicus_bottae,34.3996,47.445
ABBWP153-06,Vespertilio_murinus,33.5,49.08333
ABBWP155-06,Eptesicus_bottae,33.663000000000004,47.1198
ABBWP161-06,Pipistrellus_kuhlii,32.11486,20.06859
ABBWP168-06,Tadarida_aegyptiaca,25.72352,60.87571
ABBWP169-06,Tadarida_aegyptiaca,25.72352,60.87571
ABBWP170-06,Pipistrellus_kuhlii,25.72352,60.87571
ABBWP171-06,Tadarida_teniotis,27.7022,56.2384
ABBWP173-06,Rhinolophus_hipposideros,38.9,22.433329999999998
ABBWP174-06,Pipistrellus_pygmaeus,38.9,22.433329999999998
ABBWP175-06,Nyctalus_leisleri,38.9,22.433329999999998
ABBWP176-06,Plecotus_kolombatovici,38.9,22.433329999999998
ABBWP177-06,Plecotus_kolombatovici,38.9,22.433329999999998
ABBWP179-06,Pipistrellus_kuhlii,37.07333,22.42972
ABBWP180-06,Myotis_myotis,35.13179,36.75783
ABBWP181-06,Myotis_brandtii,59.99872,32.294129999999996
ABBWP182-06,Myotis_brandtii,59.99872,32.294129999999996
ABBWP183-06,Myotis_mystacinus,49.75,15.0
ABBWP187-06,Nyctalus_leisleri,35.0,-4.0
ABBWP188-06,Nyctalus_leisleri,49.75,15.0
ABBWP265-07,Myotis_brandtii,44.25,17.83333
ABBWP375-13,Myotis_nattereri,42.3,-2.5
AJ303116,Tachyglossus_aculeatus,-37.814,144.96331999999998
AJ421471,Lepus_europaeus,55.98333,13.5
AJ428849,Galeopterus_variegatus,4.0,115.0
AJ428944,Chrysochloris_asiatica,-33.92584,18.42322
AJ428945,Procavia_capensis,-33.92584,18.42322
AJ508402,Dromiciops_gliroides,-40.75,-72.15
AJ639869,Phascogale_tapoatafa,-32.36051,115.97723
AJ639871,Macrotis_lagotis,-32.76667,116.96667
AM262148,Lagostrophus_fasciatus,-25.92679,113.53327
AM905041,Hylomys_suillus,-7.49167,110.00443999999999
AY506565,Thomomys_monticola,40.665420000000005,-119.6643
BCPJ150-07,Sturnira_erythromos,0.12783,-79.21261
BCPJ155-07,Sturnira_luisi,-0.32116,-77.79085
BCPJ160-07,Sturnira_erythromos,-1.04695,-79.82139000000001
BCPJ164-07,Sturnira_erythromos,-1.04695,-79.82139000000001
BCPJ168-07,Sturnira_erythromos,-0.68917,-78.42889
BCPJ175-07,Sturnira_erythromos,0.19063,-78.93809
BCPJ176-07,Sturnira_erythromos,0.19063,-78.93809
BCPJ183-07,Sturnira_erythromos,-3.16076,-79.14752
BCPJ184-07,Sturnira_erythromos,-4.33418,-79.59770999999999
BCPJ210-07,Sturnira_erythromos,-0.21485,-78.07154
BCPJ211-07,Sturnira_erythromos,-0.21485,-78.07154
BCPJ212-07,Sturnira_erythromos,-0.21485,-78.07154
BCPJ213-07,Sturnira_erythromos,-0.21485,-78.07154
CAR007-11,Leopardus_pardalis,-2.44306,-54.708330000000004
CAR008-11,Leopardus_wiedii,-3.1019400000000004,-60.025
CAR015-11,Leopardus_wiedii,23.0,-102.0
CAR025-11,Leopardus_tigrinus,-15.58071,-49.63623
CAR026-11,Leopardus_tigrinus,-20.32325,-40.82718
CAR027-11,Leopardus_geoffroyi,-30.039170000000002,-52.89389
CAR029-11,Leopardus_geoffroyi,-30.67333,-51.39583
CAR030-11,Leopardus_geoffroyi,-30.294179999999997,-56.15381
CAR031-11,Leopardus_geoffroyi,-30.294179999999997,-56.15381
CAR032-11,Leopardus_geoffroyi,-28.56056,-53.95778000000001
CAR033-11,Leopardus_geoffroyi,-32.49028,-52.580830000000006
CAR035-11,Leopardus_geoffroyi,-17.78629,-63.181169999999995
CAR039-11,Leopardus_colocolo,-18.16667,-52.75
CAR040-11,Leopardus_colocolo,-18.16667,-52.75
CAR048-11,Panthera_onca,-3.75,-64.5
CAR051-11,Panthera_onca,3.5,-66.0
CAR052-11,Panthera_onca,11.0,-69.83333
CAR058-11,Herpailurus_yagouaroundi,-29.396359999999998,-51.5462
CAR059-11,Herpailurus_yagouaroundi,-25.54778,-54.58806
CAR060-11,Herpailurus_yagouaroundi,-29.46694,-51.96139
CAR061-11,Herpailurus_yagouaroundi,-20.5,-55.0
CAR062-11,Herpailurus_yagouaroundi,-5.0,-39.5
CAR063-11,Puma_concolor,44.00013,-120.50138999999999
CAR064-11,Puma_concolor,-24.98104,-48.00093
CAR066-11,Puma_concolor,-21.6451,-56.23508
CAR067-11,Puma_concolor,-19.00917,-57.653330000000004
CAR068-11,Puma_concolor,10.76721,-85.64692
CAR075-11,Conepatus_chinga,-29.242459999999998,-50.44928
CAR076-11,Conepatus_chinga,-29.27778,-50.31361
CAR077-11,Conepatus_chinga,-30.0,-53.5
CAR078-11,Conepatus_chinga,-30.039170000000002,-52.89389
CAR079-11,Conepatus_chinga,-30.0,-53.5
