seq,species,y,x
AB046320,Cynopterus_brachyotis,14.113560000000001,121.55573999999999
AB046322,Eonycteris_spelaea,14.113560000000001,121.55573999999999
AB046323,Eonycteris_spelaea,7.5,125.93333
AB046324,Eonycteris_spelaea,7.36056,125.70638999999998
AB046325,Ptenochirus_jagori,14.0057,122.1838
AB046326,Pteropus_vampyrus,8.35,126.01666999999999
AB046327,Rousettus_amplexicaudatus,14.113560000000001,121.55573999999999
AB046328,Rousettus_amplexicaudatus,7.074439999999999,125.70833
AB046329,Rousettus_amplexicaudatus,7.073060000000001,125.61278
AB050128,Herpestes_javanicus,26.253529999999998,127.74351999999999
AB050129,Herpestes_javanicus,26.253529999999998,127.74351999999999
AB051234,Martes_americana,45.50032,-69.24977
AB051235,Martes_flavigula,44.0,133.0
AB051236,Martes_foina,25.03889,102.71833000000001
AB051237,Martes_martes,55.7,36.966667
AB051238,Martes_melampus,36.0,138.0
AB051239,Mustela_altaica,52.5,83.0
AB051240,Mustela_erminea,44.0,143.0
AB051241,Mustela_nivalis,44.0,143.0
AB051242,Mustela_sibirica,33.6,130.41666999999998
AB051245,Gulo_gulo,51.0,143.0
AB051247,Martes_foina,50.91667,11.0
AB051248,Martes_foina,50.91667,11.0
AB051249,Martes_foina,50.91667,11.0
AB051250,Martes_foina,50.91667,11.0
AB051253,Martes_martes,56.85836,35.90057
AB051254,Mustela_altaica,52.5,83.0
AB051255,Mustela_altaica,52.5,83.0
AB051256,Mustela_erminea,50.91667,11.0
AB051257,Mustela_erminea,55.0415,82.9346
AB051258,Mustela_erminea,55.0415,82.9346
AB051259,Mustela_erminea,36.0,138.0
AB051260,Mustela_erminea,36.0,138.0
AB051261,Mustela_eversmanii,52.03171,113.50086999999999
AB051262,Mustela_itatsi,30.38557,130.65902
AB051267,Mustela_nivalis,57.1914,39.413940000000004
AB051268,Mustela_nivalis,44.0,133.0
AB051269,Mustela_nivalis,44.0,133.0
AB051271,Mustela_nivalis,44.0,143.0
AB051276,Mustela_putorius,55.7,36.966667
AB051277,Mustela_sibirica,44.0,133.0
AB051278,Mustela_sibirica,44.0,133.0
AB051279,Mustela_sibirica,44.0,133.0
AB051280,Mustela_sibirica,44.0,133.0
AB051281,Mustela_sibirica,35.102779999999996,129.04028
AB051282,Mustela_sibirica,35.336940000000006,127.73056000000001
AB051283,Mustela_sibirica,37.913920000000005,127.01808999999999
AB051286,Mustela_sibirica,33.6,130.41666999999998
AB051287,Mustela_sibirica,33.6,130.41666999999998
AB051288,Mustela_sibirica,33.6,130.41666999999998
AB052718,Mustela_itatsi,43.33528,141.66943999999998
AB052721,Martes_melampus,42.55,141.35
AB052722,Martes_melampus,41.92194,140.34306
AB052723,Martes_melampus,42.253890000000006,140.26917
AB052724,Martes_melampus,42.893570000000004,141.576
AB052725,Martes_zibellina,43.905559999999994,144.65944
AB052726,Martes_zibellina,43.905559999999994,144.65944
AB052727,Martes_zibellina,43.85333,144.45972
AB052728,Martes_zibellina,43.25,143.58333000000002
AB053257,Ochotona_hyperborea,42.87278,142.44056
AB057420,Crocidura_rapax,23.675829999999998,120.79388999999999
AB058604,Pentalagus_furnessi,28.25,129.48333
AB058605,Pentalagus_furnessi,28.25,129.48333
AB058606,Pentalagus_furnessi,28.3,129.23333
AB058607,Lepus_timidus,43.06667,141.35
AB058615,Lepus_brachyurus,35.96667,140.13333
AB058616,Lepus_brachyurus,36.03333,140.2
AB062472,Pteropus_hypomelanus,6.4977800000000006,124.63833000000001
AB062473,Pteropus_pumilus,15.5512,120.8147
AB062474,Pteropus_speciosus,5.1908,120.0618
AB062475,Pteropus_vampyrus,5.1908,120.0618
AB062476,Eonycteris_spelaea,10.2245,123.5573
AB062686,Crocidura_rapax,23.675829999999998,120.79388999999999
AB062720,Sorex_caecutiens,43.29823,132.06877
AB062725,Sorex_caecutiens,34.96222,127.70028
AB062726,Sorex_caecutiens,34.96222,127.70028
AB062727,Sorex_caecutiens,37.798056,128.543056
AB062728,Sorex_caecutiens,37.798056,128.543056
AB062729,Sorex_caecutiens,37.798056,128.543056
AB062730,Sorex_caecutiens,43.07782,131.61236
AB062732,Sorex_caecutiens,58.527440000000006,39.955059999999996
AB062733,Sorex_caecutiens,55.94839,124.91878999999999
AB062734,Sorex_caecutiens,51.5,95.0
AB062735,Sorex_caecutiens,68.02895,24.19833
AB062736,Sorex_isodon,37.798056,128.543056
AB066247,Suncus_murinus,24.4,125.0
AB066248,Crocidura_dsinezumi,36.58619,137.50999
AB066249,Crocidura_dsinezumi,36.21819,136.8817
AB066250,Crocidura_dsinezumi,38.450390000000006,141.26162
